Country,Area,Order,aOrder,aColor,Population,Maths Score,Reading Score,Science Score,Play Chess,Quiet Place to Study,Internet at Home,Computer at Home,Books,Car,Computer Programming,Problems,Homework Hours,Latitude,Longitude,Abs Latitude
Croatia,Europe,Slovenia,Europe,1,4.2,471,485,491,43.29,84.37,94.98,93.36,19.44,91.24,43.27,32.10,5.92,45.1,15.2,45.1
Uruguay,America,South Korea,Asia,2,3.4,409,411,416,34.76,81.00,77.22,83.47,13.91,49.56,35.56,32.21,4.70,-32.5228,-55.7658,32.5228
Lithuania,Europe,Spain,Europe,1,3,479,477,496,43.38,91.37,93.18,95.24,29.23,84.33,46.79,28.28,6.69,55.1694,23.8813,55.1694
Albania,Europe,Sweden,Europe,1,3,394,394,397,44.41,82.54,48.81,58.45,9.62,44.97,49.45,28.16,5.07,41.153332,20.168331,41.153332
Slovenia,Europe,Switzerland,Europe,1,2,501,481,514,41.92,92.97,98.76,98.07,29.19,97.67,41.03,33.65,3.72,46.151241,14.995463,46.151241
Latvia,Europe,Taiwan,Asia,1,2,491,489,502,41.04,91.25,91.95,92.21,37.12,74.56,33.86,29.07,6.21,56.879635,24.603189,56.879635
Qatar,Middle East & Africa,Thailand,Asia,4,2,376,388,384,53.87,84.26,87.95,87.69,29.03,92.90,65.11,43.78,4.32,25.3548,51.1839,25.3548
Estonia,Europe,Tunisia,Middle East & Africa,1,1,521,516,541,38.51,92.58,98.59,89.19,44.76,83.94,30.78,28.40,6.93,58.595272,25.013607,58.595272
Cyprus,Europe,Turkey,Europe,1,0.8,440,449,438,46.07,87.58,95.33,95.45,34.55,97.84,59.67,43.62,3.82,35.126413,33.429859,35.126413
Macao-China,Asia,United Arab Emirates,Middle East & Africa,3,0.6,538,509,521,53.75,77.79,98.03,96.67,15.19,63.61,37.04,41.73,5.87,22.1987,113.5439,22.1987
Montenegro,Europe,United Kingdom,Europe,1,0.6,410,422,410,49.46,88.85,85.91,89.93,31.41,84.46,44.27,32.68,4.33,42.7087,19.3744,42.7087
Luxembourg,Europe,United States,America,1,0.5,490,488,491,33.17,93.15,96.87,96.06,50.96,95.20,35.75,38.44,4.58,49.815273,6.129583,49.815273
Iceland,Europe,Uruguay,America,1,0.3,493,483,478,29.43,95.19,98.76,98.18,54.48,94.43,29.93,27.53,4.08,64.963051,-19.020835,64.963051
Liechtenstein,Europe,Vietnam,Asia,1,0.37,535,516,525,33.11,97.62,98.57,98.94,47.38,97.30,32.20,33.55,3.30,47.166,9.555373,47.166
