Country,Area,aColor,Population,Maths Score,Reading Score,Science Score,Play Chess,Quiet Place to Study,Internet at Home,Computer at Home,Books,Car,Computer Programming,Problems,Homework Hours
Luxembourg,Europe,1,0.5,490,488,491,33.17,93.15,96.87,96.06,50.96,95.20,35.75,38.44,4.58
Mexico,America,2,121,413,424,415,40.05,69.93,45.75,55.53,8.73,56.68,35.47,38.18,5.24
Netherlands,Europe,1,17,523,511,522,18.06,95.87,98.58,97.29,34.38,96.40,16.36,23.94,5.84
New Zealand,Oceania,5,4.6,500,512,516,31.49,85.00,91.43,92.50,44.17,96.67,28.75,44.48,4.20
Norway,Europe,1,5,489,504,495,24.83,93.44,98.52,97.77,47.97,95.66,25.88,33.57,4.74
Poland,Europe,1,38,518,518,526,41.64,95.11,94.84,96.79,34.86,86.42,26.22,32.17,6.60
Portugal,Europe,1,10,487,488,489,35.14,94.41,94.93,96.43,27.44,88.45,41.34,40.97,3.82
Slovak Republic,Europe,1,5.4,482,463,471,44.43,85.68,91.74,90.86,28.59,80.79,47.05,31.06,3.23
Slovenia,Europe,1,2,501,481,514,41.92,92.97,98.76,98.07,29.19,97.67,41.03,33.65,3.72
Spain,Europe,1,46,484,488,496,38.52,92.03,94.06,95.49,43.33,92.62,42.47,26.38,6.50
Sweden,Europe,1,10,478,483,485,25.19,91.16,98.58,97.98,45.25,93.18,29.80,31.27,3.57
Switzerland,Europe,1,8,531,509,515,33.41,95.59,98.45,97.04,37.98,93.02,32.64,37.05,3.98
Turkey,Europe,1,78,448,475,463,69.65,81.63,56.10,66.74,18.35,54.87,43.82,31.47,4.24
United Kingdom,Europe,1,64,494,499,514,25.76,85.76,97.57,96.14,39.48,91.01,28.62,34.18,4.86
United States,America,2,322,481,498,497,33.73,87.45,91.53,90.03,29.52,96.55,27.51,35.62,6.09
Albania,Europe,1,3,394,394,397,44.41,82.54,48.81,58.45,9.62,44.97,49.45,28.16,5.07
Argentina,America,2,43,388,396,406,38.28,72.65,70.70,80.38,14.17,53.38,40.55,44.46,3.71
Brazil,America,2,204,391,410,405,41.36,74.09,71.72,68.86,7.40,53.78,30.68,33.91,3.32
Bulgaria,Europe,1,7,439,436,446,52.68,67.46,91.01,90.90,27.98,80.71,50.86,33.00,5.64
Shanghai-China,Asia,3,14,613,570,580,70.91,90.94,85.55,82.75,29.11,46.11,31.10,24.52,13.85
Taiwan,Asia,3,23,560,523,523,53.64,79.37,95.72,90.10,37.22,84.13,18.77,30.92,5.35
Colombia,America,2,48,376,403,399,48.58,68.86,51.11,59.99,7.64,21.71,46.12,34.10,5.35
Costa Rica,America,2,4.7,407,441,429,34.58,80.29,64.22,71.46,9.28,52.93,26.64,33.57,3.52
Croatia,Europe,1,4.2,471,485,491,43.29,84.37,94.98,93.36,19.44,91.24,43.27,32.10,5.92
Cyprus,Europe,1,0.8,440,449,438,46.07,87.58,95.33,95.45,34.55,97.84,59.67,43.62,3.82
Hong Kong-China,Asia,3,7.2,561,545,555,52.04,81.76,99.13,98.60,25.14,21.79,20.37,34.53,6.02
Indonesia,Asia,3,255,375,396,382,47.39,54.25,22.04,24.84,11.53,14.92,35.11,45.27,4.90
Jordan,Middle East & Africa,4,7.5,386,399,409,56.83,80.83,62.58,80.71,16.63,73.60,68.63,48.95,4.22
Kazakhstan,Asia,3,17.5,432,393,425,67.75,86.68,54.31,65.07,20.28,59.98,66.47,24.35,8.82
Latvia,Europe,1,2,491,489,502,41.04,91.25,91.95,92.21,37.12,74.56,33.86,29.07,6.21
Liechtenstein,Europe,1,0.037,535,516,525,33.11,97.62,98.57,98.94,47.38,97.30,32.20,33.55,3.30
Lithuania,Europe,1,3,479,477,496,43.38,91.37,93.18,95.24,29.23,84.33,46.79,28.28,6.69
Macao-China,Asia,3,0.6,538,509,521,53.75,77.79,98.03,96.67,15.19,63.61,37.04,41.73,5.87
Malaysia,Asia,3,30,421,398,420,54.72,64.44,61.28,67.03,25.22,80.39,64.24,43.47,4.79
Montenegro,Europe,1,0.6,410,422,410,49.46,88.85,85.91,89.93,31.41,84.46,44.27,32.68,4.33
Peru,America,2,31,368,384,373,52.22,75.99,40.07,50.12,9.31,22.11,44.21,36.99,5.46
Qatar,Middle East & Africa,4,2,376,388,384,53.87,84.26,87.95,87.69,29.03,92.90,65.11,43.78,4.32
Romania,Europe,1,20,445,438,439,57.26,90.39,79.30,85.57,25.79,61.60,57.38,38.26,7.28
Russian Federation,Europe,1,146,482,475,486,48.28,85.39,90.77,91.51,35.81,68.16,59.96,24.38,9.75
Serbia,Europe,1,7,449,446,445,46.25,93.31,87.74,93.69,22.33,78.97,57.83,33.22,4.42
Singapore,Asia,3,5.4,573,542,551,38.76,78.66,96.96,94.70,31.79,59.60,36.28,42.45,9.39
Thailand,Asia,3,65,427,441,444,61.40,73.39,48.74,62.99,12.87,67.76,65.44,61.61,5.59
Tunisia,Middle East & Africa,4,11,388,404,398,47.54,77.66,49.26,55.47,7.69,42.61,72.37,40.94,3.55
United Arab Emirates,Middle East & Africa,4,9,434,442,448,49.05,86.05,92.67,91.78,26.46,95.02,64.78,38.53,6.17
Uruguay,America,2,3.4,409,411,416,34.76,81.00,77.22,83.47,13.91,49.56,35.56,32.21,4.70
Vietnam,Asia,3,91,511,508,528,58.30,82.60,28.51,38.79,11.35,9.44,41.21,26.60,5.85
